1.	MS Winword 2013: để soạn thảo nhanh một cụm từ lặp lại nhiều lần trong văn bản, ta thiết lập từ gõ tắt bằng cách vào File\Optoin\ Proofing\AutoOptoins..., ta chọn tiếp công cụ nào sau đây?
A.	AutoFormat
B.	Math Autocorrect
C.	Autocorrect
D.	AutoFormat As You Type Answer: C

2.	MS Winword 2013: khi dùng công cụ Autocorrect, ta nhập từ gõ tắt rồi nhập cụm từ được thay thế bằng từ gõ tắt vào các mục tương ứng nào sau đây?
A.	Replace - Replace With
B.	Find What - Replace With
C.	Find What - Replace
D.	Replace -With Answer: D

3.	MS Winword 2013: khi cần thay thế một nội dung cũ trong văn bản thành một nội dung mới, ta nhập nội dung cũ rồi nhập nội dung mới thay thế cho nội dung cũ vào các mục tương ứng nào sau đây?
A.	Replace - Replace With
B.	Find What - Replace With
C.	Find What - Replace
D.	Replace -With Answer: B

4.	MS Winword 2013: Làm cách nào để thêm một trích dẫn vào văn bản bằng "References" trong Microsoft Word?
A.	Chọn vị trí trong văn bản mà bạn muốn thêm trích dẫn.
B.	Trong tab "References," chọn "Insert Citation."
C.	Chọn kiểu trích dẫn phù hợp (ví dụ: APA, MLA) hoặc tạo kiểu trích dẫn tùy chỉnh.
D.	Nhập thông tin của nguồn tham khảo (tác giả, tiêu đề, năm xuất bản, vv.) trong hộp thoại trích dẫn.
Answer: B

7.	MS Winword 2013: khi thực hiện ngắt trang để sang trang mới, phương án nào sau đây là đúng?
A.	Dùng phím Enter
B.	Dùng tổ hợp phím Alt + Enter
C.	Dùng tổ hợp phím Ctrl + Enter
D.	Dùng tổ hợp phím Shift + Enter Answer: C
 
8.	MS Winword 2013: khi thực hiện ngắt trang để sang trang mới, phương án nào sau đây là đúng?
A.	Dùng phím Enter
B.	Dùng tổ hợp phím Alt + Enter
C.	Dùng lệnh Insert\Page Break
D.	Dùng lệnh Page Layout\Break\Next Page Answer: C

9.	MS Winword 2013: công cụ format painter có chức năng gì?
A.	Sao chép một định dạng đã có trong văn bản
B.	Tạo một định dạng mới cho văn bản
C.	Là công cụ định dạng cho các hình vẽ
D.	Là công cụ vẽ hình Answer: A

10.	MS Winword 2013: khi thực hiện ngắt đoạn để sang đoạn mới, phương án nào sau đây là đúng?
A.	Dùng lệnh Insert\Page Break
B.	Dùng lệnh Page Layout\Break\Next Page
C.	Dùng tổ hợp phím Ctrl + Enter
D.	Dùng tổ hợp phím Shift + Enter Answer: B

11.	MS Winword 2013: văn bản có nhiều chương, muốn đánh số trang bắt đầu từ 1 cho từng chương, ta phải thực hiện thao tác nào sau đây?
A.	Ngắt đoạn ở cuối mỗi chương
B.	Dùng phím Enter để sang trang mới ở cuối mỗi chương
C.	Ngắt trang ở cuối mỗi chương
D.	Dùng tổ hợp phím Shift + Enter Answer: A

12.	MS Winword 2013: để chia cột cho văn bản ta phải chọn đoạn văn bản cần chia cột rồi thực hiện cụm thao tác nào sau đây?
A.	Insert\ Columns\ More Columns
B.	Layout\ Columns\ More Columns
C.	Insert\ Columns
D.	Page Layout\ Columns\ More Columns Answer: D

13.	MS Winword 2013: để tạo Bảng cho việc tổ chức dữ liệu dạng danh sách ta thực hiện cụm thao tác nào sau đây?
A.	Page Layout\Insert Table
B.	References\Table of Contents
C.	References\Insert Table
 
D.	Insert\Table\Insert Table Answer: D

14.	MS Winword 2013: khi sử dụng Bảng muốn lặp lại dòng đầu tiên của bảng trên nhiều trang, ta chọn dòng đầu tiên của Bảng và thực hiện cụm thao tác nào sau đây?
A.	Insert\Header
B.	Design\Header Row
C.	Layout\Repeat Header Rows
D.	Design\First Row Answer: C

15.	MS Winword 2013: khi muốn trộn các ô liên tiếp trong Bảng lại thành 1 ô, ta chọn các ô cần trộn và thực hiện cụm thao tác nào sau đây?
A.	Layout\Merge cells
B.	Insert\Merge cells
C.	Home\Font\Merge cells
D.	Maillings\Start Mail Merge Answer: A

